"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 27 13:46:33 GMT 2023","Fri Jan 27 13:46:33 GMT 2023","276","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:28 GMT 2023","Fri Jan 27 13:46:28 GMT 2023","269","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:30 GMT 2023","Fri Jan 27 13:46:31 GMT 2023","200","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:31 GMT 2023","Fri Jan 27 13:46:31 GMT 2023","226","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:33 GMT 2023","Fri Jan 27 13:46:33 GMT 2023","242","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:31 GMT 2023","Fri Jan 27 13:46:31 GMT 2023","171","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:31 GMT 2023","Fri Jan 27 13:46:31 GMT 2023","181","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:29 GMT 2023","Fri Jan 27 13:46:29 GMT 2023","193","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:32 GMT 2023","Fri Jan 27 13:46:33 GMT 2023","226","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:29 GMT 2023","Fri Jan 27 13:46:30 GMT 2023","1452","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:33 GMT 2023","Fri Jan 27 13:46:34 GMT 2023","218","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:31 GMT 2023","Fri Jan 27 13:46:31 GMT 2023","179","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:25 GMT 2023","Fri Jan 27 13:46:28 GMT 2023","2834","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:33 GMT 2023","Fri Jan 27 13:46:33 GMT 2023","212","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:31 GMT 2023","Fri Jan 27 13:46:32 GMT 2023","1078","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:29 GMT 2023","Fri Jan 27 13:46:29 GMT 2023","205","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:28 GMT 2023","Fri Jan 27 13:46:29 GMT 2023","215","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:46:28 GMT 2023","Fri Jan 27 13:46:28 GMT 2023","229","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
